POI ID	City Name	POI Name (Chinese)	Image File Path
seoul-gyeongbokgung	首尔	景福宫	H:\AI project\demo5\public\images\poi\首尔\景福宫.jpg
seoul-myeongdong	首尔	明洞	H:\AI project\demo5\public\images\poi\首尔\明洞.jpg
seoul-nseoul-tower	首尔	南山首尔塔	H:\AI project\demo5\public\images\poi\首尔\南山首尔塔.jpg
seoul-gangnam	首尔	江南区	H:\AI project\demo5\public\images\poi\首尔\江南区.jpg
seoul-bbq	首尔	韩式烤肉店	H:\AI project\demo5\public\images\poi\首尔\韩式烤肉店.jpg
seoul-hotel	首尔	首尔明洞乐天酒店	H:\AI project\demo5\public\images\poi\首尔\首尔明洞乐天酒店.jpg
seoul-station	首尔	首尔站	H:\AI project\demo5\public\images\poi\首尔\首尔站.jpg
cs-wenheyou	长沙	超级文和友	H:\AI project\demo5\public\images\poi\长沙\超级文和友.jpg
cs-yuelu	长沙	岳麓书院	H:\AI project\demo5\public\images\poi\长沙\岳麓书院.jpg
cs-jiefangxi	长沙	解放西路酒吧街	H:\AI project\demo5\public\images\poi\长沙\解放西路酒吧街.jpg
cs-mawangdui	长沙	湖南省博物馆·马王堆	H:\AI project\demo5\public\images\poi\长沙\湖南省博物馆·马王堆.jpg
heb-zhaolin	哈尔滨	兆麟公园冰灯	H:\AI project\demo5\public\images\poi\哈尔滨\兆麟公园冰灯.jpg
heb-zhongyang	哈尔滨	中央大街	H:\AI project\demo5\public\images\poi\哈尔滨\中央大街.jpg
heb-saint	哈尔滨	圣索菲亚教堂	H:\AI project\demo5\public\images\poi\哈尔滨\圣索菲亚教堂.jpg
xm-gulangyu	厦门	鼓浪屿	H:\AI project\demo5\public\images\poi\厦门\鼓浪屿.jpg
xm-nanputuo	厦门	南普陀寺	H:\AI project\demo5\public\images\poi\厦门\南普陀寺.jpg
xm-zhongshan	厦门	中山路步行街	H:\AI project\demo5\public\images\poi\厦门\中山路步行街.jpg
sz-zhuozheng	苏州	拙政园	H:\AI project\demo5\public\images\poi\苏州\拙政园.jpg
sz-hanxishan	苏州	寒山寺	H:\AI project\demo5\public\images\poi\苏州\寒山寺.jpg
sz-pingjiang	苏州	平江路历史街区	H:\AI project\demo5\public\images\poi\苏州\平江路历史街区.jpg
dh-mogao	敦煌	莫高窟	H:\AI project\demo5\public\images\poi\敦煌\莫高窟.jpg
dh-mingsha	敦煌	鸣沙山·月牙泉	H:\AI project\demo5\public\images\poi\敦煌\鸣沙山·月牙泉.jpg
zjjs-tianmen	张家界	天门山	H:\AI project\demo5\public\images\poi\张家界\天门山.jpg
zjjs-zhangjiajie	张家界	张家界国家森林公园	H:\AI project\demo5\public\images\poi\张家界\张家界国家森林公园.jpg
ls-potala	拉萨	布达拉宫	H:\AI project\demo5\public\images\poi\拉萨\布达拉宫.jpg
ls-jokhang	拉萨	大昭寺	H:\AI project\demo5\public\images\poi\拉萨\大昭寺.jpg
sy-yalong	三亚	亚龙湾	H:\AI project\demo5\public\images\poi\三亚\亚龙湾.jpg
sy-tianya	三亚	天涯海角	H:\AI project\demo5\public\images\poi\三亚\天涯海角.jpg
sy-nanshan	三亚	南山文化旅游区	H:\AI project\demo5\public\images\poi\三亚\南山文化旅游区.jpg
py-pingyao	平遥	平遥古城	H:\AI project\demo5\public\images\poi\平遥\平遥古城.jpg
py-riying	平遥	日昇昌票号	H:\AI project\demo5\public\images\poi\平遥\日昇昌票号.jpg
wy-huangcun	婺源	篁岭晒秋	H:\AI project\demo5\public\images\poi\婺源\篁岭晒秋.jpg
fh-fenghuang	凤凰	凤凰古城	H:\AI project\demo5\public\images\poi\凤凰\凤凰古城.jpg
