POI ID	City Name	POI Name (Chinese)	Image File Path
bj-gugong	北京	故宫博物院	H:\AI project\demo5\public\images\poi\北京\故宫博物院.jpg
bj-jingshan	北京	景山公园	H:\AI project\demo5\public\images\poi\北京\景山公园.jpg
bj-guobo	北京	中国国家博物馆	H:\AI project\demo5\public\images\poi\北京\中国国家博物馆.jpg
bj-tiantan	北京	天坛公园	H:\AI project\demo5\public\images\poi\北京\天坛公园.jpg
bj-shichahai	北京	什刹海	H:\AI project\demo5\public\images\poi\北京\什刹海.jpg
bj-nanluogu	北京	南锣鼓巷	H:\AI project\demo5\public\images\poi\北京\南锣鼓巷.jpg
bj-wangfujing	北京	王府井小吃街	H:\AI project\demo5\public\images\poi\北京\王府井小吃街.jpg
bj-sanlitun	北京	三里屯太古里	H:\AI project\demo5\public\images\poi\北京\三里屯太古里.jpg
bj-qianmen	北京	前门大街	H:\AI project\demo5\public\images\poi\北京\前门大街.jpg
bj-meishuguan	北京	中国美术馆	H:\AI project\demo5\public\images\poi\北京\中国美术馆.jpg
bj-laoshe	北京	老舍茶馆	H:\AI project\demo5\public\images\poi\北京\老舍茶馆.jpg
bj-hotel	北京	北京饭店	H:\AI project\demo5\public\images\poi\北京\北京饭店.jpg
bj-hotel2	北京	全季酒店·王府井店	H:\AI project\demo5\public\images\poi\北京\全季酒店·王府井店.jpg
bj-hotel3	北京	瑜舍 The Opposite House	H:\AI project\demo5\public\images\poi\北京\瑜舍 The Opposite House.jpg
bj-hotel4	北京	北平国际青年旅舍	H:\AI project\demo5\public\images\poi\北京\北平国际青年旅舍.jpg
bj-station	北京	北京南站	H:\AI project\demo5\public\images\poi\北京\北京南站.jpg
sh-bund	上海	外滩	H:\AI project\demo5\public\images\poi\上海\外滩.jpg
sh-yuyuan	上海	豫园	H:\AI project\demo5\public\images\poi\上海\豫园.jpg
sh-wukang	上海	武康路	H:\AI project\demo5\public\images\poi\上海\武康路.jpg
sh-lujiazui	上海	陆家嘴天际线	H:\AI project\demo5\public\images\poi\上海\陆家嘴天际线.jpg
sh-nanjing	上海	南京路步行街	H:\AI project\demo5\public\images\poi\上海\南京路步行街.jpg
sh-tianzifang	上海	田子坊	H:\AI project\demo5\public\images\poi\上海\田子坊.jpg
sh-chenghuang	上海	城隍庙小吃	H:\AI project\demo5\public\images\poi\上海\城隍庙小吃.jpg
sh-shendacheng	上海	沈大成	H:\AI project\demo5\public\images\poi\上海\沈大成.jpg
sh-sihang	上海	四行仓库	H:\AI project\demo5\public\images\poi\上海\四行仓库.jpg
sh-dahuchun	上海	大壶春	H:\AI project\demo5\public\images\poi\上海\大壶春.jpg
sh-lvbolang	上海	绿波廊	H:\AI project\demo5\public\images\poi\上海\绿波廊.jpg
sh-hotel	上海	和平饭店	H:\AI project\demo5\public\images\poi\上海\和平饭店.jpg
sh-hotel4	上海	上海外滩瑞吉酒店	H:\AI project\demo5\public\images\poi\上海\上海外滩瑞吉酒店.jpg
sh-hotel3	上海	上海青年旅舍·外滩店	H:\AI project\demo5\public\images\poi\上海\上海青年旅舍·外滩店.jpg
sh-hotel2	上海	全季酒店·陆家嘴店	H:\AI project\demo5\public\images\poi\上海\全季酒店·陆家嘴店.jpg
sh-station	上海	上海虹桥站	H:\AI project\demo5\public\images\poi\上海\上海虹桥站.jpg
cd-panda	成都	大熊猫繁育研究基地	H:\AI project\demo5\public\images\poi\成都\大熊猫繁育研究基地.jpg
cd-kuanzhai	成都	宽窄巷子	H:\AI project\demo5\public\images\poi\成都\宽窄巷子.jpg
cd-renmin	成都	人民公园	H:\AI project\demo5\public\images\poi\成都\人民公园.jpg
cd-heming	成都	鹤鸣茶社	H:\AI project\demo5\public\images\poi\成都\鹤鸣茶社.jpg
cd-jinli	成都	锦里古街	H:\AI project\demo5\public\images\poi\成都\锦里古街.jpg
cd-jianshe	成都	建设路小吃街	H:\AI project\demo5\public\images\poi\成都\建设路小吃街.jpg
cd-taikoo	成都	太古里	H:\AI project\demo5\public\images\poi\成都\太古里.jpg
